tv_show_title,episode_name,season,episode,air_date,episode_link
Ici tout commence,Episode 1143,1,1143,2025-03-31,https://www.themoviedb.org/tv/112470/season/1/episode/1143
Kelders van Geheime,Episode 236,1,236,2025-03-31,https://www.themoviedb.org/tv/249010/season/1/episode/236
Rahma,Episode 30,1,30,2025-03-31,https://www.themoviedb.org/tv/283602/season/1/episode/30
The day I meet you,Episode 30,1,30,2025-03-31,https://www.themoviedb.org/tv/284984/season/1/episode/30
Chronicles of the Sun,Episode 59,7,59,2025-03-31,https://www.themoviedb.org/tv/81329/season/7/episode/59
Diepe Waters,Episode 105,3,105,2025-03-31,https://www.themoviedb.org/tv/231962/season/3/episode/105
Vandaag Inside,Episode 51,8,51,2025-03-31,https://www.themoviedb.org/tv/154828/season/8/episode/51
The Arena with Kasie Hunt,Episode 46,1,46,2025-03-31,https://www.themoviedb.org/tv/283709/season/1/episode/46
Big Brother Célébrités,Episode 69,5,69,2025-03-31,https://www.themoviedb.org/tv/113207/season/5/episode/69
Star Académie,Episode 56,3,56,2025-03-31,https://www.themoviedb.org/tv/115107/season/3/episode/56
Big Brother,Episode 73,5,73,2025-03-31,https://www.themoviedb.org/tv/114885/season/5/episode/73
Dahoam is Dahoam,Episode 197,21,197,2025-03-31,https://www.themoviedb.org/tv/40879/season/21/episode/197
Suidooster,Episode 1,11,1,2025-04-01,https://www.themoviedb.org/tv/235484/season/11/episode/1
De Bondgenoten,Episode 117,2,117,2025-04-01,https://www.themoviedb.org/tv/235493/season/2/episode/117
Binnelanders,Episode 217,20,217,2025-04-01,https://www.themoviedb.org/tv/206559/season/20/episode/217
Tomorrow Is Ours,Episode 1912,1,1912,2025-04-01,https://www.themoviedb.org/tv/72879/season/1/episode/1912
Big Brother,Day Highlights 26,15,27,2025-04-01,https://www.themoviedb.org/tv/21926/season/15/episode/27
Hallo Kroket!,Episode 62,1,62,2025-04-01,https://www.themoviedb.org/tv/279257/season/1/episode/62
Sľub,Episode 57,1,57,2025-04-01,https://www.themoviedb.org/tv/279914/season/1/episode/57
Ici tout commence,Episode 1144,1,1144,2025-04-01,https://www.themoviedb.org/tv/112470/season/1/episode/1144
Kelders van Geheime,Episode 237,1,237,2025-04-01,https://www.themoviedb.org/tv/249010/season/1/episode/237
Chronicles of the Sun,Episode 60,7,60,2025-04-01,https://www.themoviedb.org/tv/81329/season/7/episode/60
Diepe Waters,Episode 106,3,106,2025-04-01,https://www.themoviedb.org/tv/231962/season/3/episode/106
Vandaag Inside,Episode 52,8,52,2025-04-01,https://www.themoviedb.org/tv/154828/season/8/episode/52
The Arena with Kasie Hunt,Episode 47,1,47,2025-04-01,https://www.themoviedb.org/tv/283709/season/1/episode/47
Big Brother Célébrités,Episode 70,5,70,2025-04-01,https://www.themoviedb.org/tv/113207/season/5/episode/70
Star Académie,Episode 57,3,57,2025-04-01,https://www.themoviedb.org/tv/115107/season/3/episode/57
Big Brother,Episode 74,5,74,2025-04-01,https://www.themoviedb.org/tv/114885/season/5/episode/74
Dahoam is Dahoam,Episode 198,21,198,2025-04-01,https://www.themoviedb.org/tv/40879/season/21/episode/198
Markus Lanz,Episode 38,18,38,2025-04-01,https://www.themoviedb.org/tv/23915/season/18/episode/38
Suidooster,Episode 2,11,2,2025-04-02,https://www.themoviedb.org/tv/235484/season/11/episode/2
De Bondgenoten,Episode 118,2,118,2025-04-02,https://www.themoviedb.org/tv/235493/season/2/episode/118
Binnelanders,Episode 218,20,218,2025-04-02,https://www.themoviedb.org/tv/206559/season/20/episode/218
Tomorrow Is Ours,Episode 1913,1,1913,2025-04-02,https://www.themoviedb.org/tv/72879/season/1/episode/1913
Big Brother,Day Highlights 27,15,28,2025-04-02,https://www.themoviedb.org/tv/21926/season/15/episode/28
Hallo Kroket!,Episode 63,1,63,2025-04-02,https://www.themoviedb.org/tv/279257/season/1/episode/63
Sľub,Episode 58,1,58,2025-04-02,https://www.themoviedb.org/tv/279914/season/1/episode/58
Ici tout commence,Episode 1145,1,1145,2025-04-02,https://www.themoviedb.org/tv/112470/season/1/episode/1145
Kelders van Geheime,Episode 238,1,238,2025-04-02,https://www.themoviedb.org/tv/249010/season/1/episode/238
Chronicles of the Sun,Episode 61,7,61,2025-04-02,https://www.themoviedb.org/tv/81329/season/7/episode/61
Diepe Waters,Episode 107,3,107,2025-04-02,https://www.themoviedb.org/tv/231962/season/3/episode/107
Vandaag Inside,Episode 53,8,53,2025-04-02,https://www.themoviedb.org/tv/154828/season/8/episode/53
The Arena with Kasie Hunt,Episode 48,1,48,2025-04-02,https://www.themoviedb.org/tv/283709/season/1/episode/48
Big Brother Célébrités,Episode 71,5,71,2025-04-02,https://www.themoviedb.org/tv/113207/season/5/episode/71
Star Académie,Episode 58,3,58,2025-04-02,https://www.themoviedb.org/tv/115107/season/3/episode/58
Big Brother,Episode 75,5,75,2025-04-02,https://www.themoviedb.org/tv/114885/season/5/episode/75
Dahoam is Dahoam,Episode 199,21,199,2025-04-02,https://www.themoviedb.org/tv/40879/season/21/episode/199
Markus Lanz,Episode 39,18,39,2025-04-02,https://www.themoviedb.org/tv/23915/season/18/episode/39
Suidooster,Episode 3,11,3,2025-04-03,https://www.themoviedb.org/tv/235484/season/11/episode/3
De Bondgenoten,Episode 119,2,119,2025-04-03,https://www.themoviedb.org/tv/235493/season/2/episode/119
Binnelanders,Episode 219,20,219,2025-04-03,https://www.themoviedb.org/tv/206559/season/20/episode/219
Tomorrow Is Ours,Episode 1914,1,1914,2025-04-03,https://www.themoviedb.org/tv/72879/season/1/episode/1914
Big Brother,Day Highlights 28,15,29,2025-04-03,https://www.themoviedb.org/tv/21926/season/15/episode/29
Hallo Kroket!,Episode 64,1,64,2025-04-03,https://www.themoviedb.org/tv/279257/season/1/episode/64
Sľub,Episode 59,1,59,2025-04-03,https://www.themoviedb.org/tv/279914/season/1/episode/59
Ici tout commence,Episode 1146,1,1146,2025-04-03,https://www.themoviedb.org/tv/112470/season/1/episode/1146
Kelders van Geheime,Episode 239,1,239,2025-04-03,https://www.themoviedb.org/tv/249010/season/1/episode/239
Chronicles of the Sun,Episode 62,7,62,2025-04-03,https://www.themoviedb.org/tv/81329/season/7/episode/62
Diepe Waters,Episode 108,3,108,2025-04-03,https://www.themoviedb.org/tv/231962/season/3/episode/108
Vandaag Inside,Episode 54,8,54,2025-04-03,https://www.themoviedb.org/tv/154828/season/8/episode/54
The Arena with Kasie Hunt,Episode 49,1,49,2025-04-03,https://www.themoviedb.org/tv/283709/season/1/episode/49
Big Brother Célébrités,Episode 72,5,72,2025-04-03,https://www.themoviedb.org/tv/113207/season/5/episode/72
Star Académie,Episode 59,3,59,2025-04-03,https://www.themoviedb.org/tv/115107/season/3/episode/59
Big Brother,Episode 76,5,76,2025-04-03,https://www.themoviedb.org/tv/114885/season/5/episode/76
Dahoam is Dahoam,Episode 200,21,200,2025-04-03,https://www.themoviedb.org/tv/40879/season/21/episode/200
Markus Lanz,Episode 40,18,40,2025-04-03,https://www.themoviedb.org/tv/23915/season/18/episode/40
Suidooster,Episode 4,11,4,2025-04-04,https://www.themoviedb.org/tv/235484/season/11/episode/4
De Bondgenoten,Episode 120,2,120,2025-04-04,https://www.themoviedb.org/tv/235493/season/2/episode/120
Binnelanders,Episode 220,20,220,2025-04-04,https://www.themoviedb.org/tv/206559/season/20/episode/220
Tomorrow Is Ours,Episode 1915,1,1915,2025-04-04,https://www.themoviedb.org/tv/72879/season/1/episode/1915
Big Brother,Day Highlights 29,15,30,2025-04-04,https://www.themoviedb.org/tv/21926/season/15/episode/30
Hallo Kroket!,Episode 65,1,65,2025-04-04,https://www.themoviedb.org/tv/279257/season/1/episode/65
Sľub,Episode 60,1,60,2025-04-04,https://www.themoviedb.org/tv/279914/season/1/episode/60
Ici tout commence,Episode 1147,1,1147,2025-04-04,https://www.themoviedb.org/tv/112470/season/1/episode/1147
Kelders van Geheime,Episode 240,1,240,2025-04-04,https://www.themoviedb.org/tv/249010/season/1/episode/240
Chronicles of the Sun,Episode 63,7,63,2025-04-04,https://www.themoviedb.org/tv/81329/season/7/episode/63
Vandaag Inside,Episode 55,8,55,2025-04-04,https://www.themoviedb.org/tv/154828/season/8/episode/55
Big Brother,Episode 77,5,77,2025-04-04,https://www.themoviedb.org/tv/114885/season/5/episode/77
Big Brother Célébrités,Episode 73,5,73,2025-04-06,https://www.themoviedb.org/tv/113207/season/5/episode/73
Big Brother Célébrités,Episode 74,5,74,2025-04-06,https://www.themoviedb.org/tv/113207/season/5/episode/74
Star Académie,Episode 60,3,60,2025-04-06,https://www.themoviedb.org/tv/115107/season/3/episode/60
Suidooster,Episode 5,11,5,2025-04-07,https://www.themoviedb.org/tv/235484/season/11/episode/5
Binnelanders,Episode 221,20,221,2025-04-07,https://www.themoviedb.org/tv/206559/season/20/episode/221
Hallo Kroket!,Episode 66,1,66,2025-04-07,https://www.themoviedb.org/tv/279257/season/1/episode/66
Kelders van Geheime,Episode 241,1,241,2025-04-07,https://www.themoviedb.org/tv/249010/season/1/episode/241
Diepe Waters,Episode 109,3,109,2025-04-07,https://www.themoviedb.org/tv/231962/season/3/episode/109
Vandaag Inside,Episode 56,8,56,2025-04-07,https://www.themoviedb.org/tv/154828/season/8/episode/56
Suidooster,Episode 6,11,6,2025-04-08,https://www.themoviedb.org/tv/235484/season/11/episode/6
Binnelanders,Episode 222,20,222,2025-04-08,https://www.themoviedb.org/tv/206559/season/20/episode/222
Hallo Kroket!,Episode 67,1,67,2025-04-08,https://www.themoviedb.org/tv/279257/season/1/episode/67
Kelders van Geheime,Episode 242,1,242,2025-04-08,https://www.themoviedb.org/tv/249010/season/1/episode/242
Diepe Waters,Episode 110,3,110,2025-04-08,https://www.themoviedb.org/tv/231962/season/3/episode/110
Vandaag Inside,Episode 57,8,57,2025-04-08,https://www.themoviedb.org/tv/154828/season/8/episode/57
Suidooster,Episode 7,11,7,2025-04-09,https://www.themoviedb.org/tv/235484/season/11/episode/7
Binnelanders,Episode 223,20,223,2025-04-09,https://www.themoviedb.org/tv/206559/season/20/episode/223
Hallo Kroket!,Episode 68,1,68,2025-04-09,https://www.themoviedb.org/tv/279257/season/1/episode/68
Kelders van Geheime,Episode 243,1,243,2025-04-09,https://www.themoviedb.org/tv/249010/season/1/episode/243
Diepe Waters,Episode 111,3,111,2025-04-09,https://www.themoviedb.org/tv/231962/season/3/episode/111
Vandaag Inside,Episode 58,8,58,2025-04-09,https://www.themoviedb.org/tv/154828/season/8/episode/58
Suidooster,Episode 8,11,8,2025-04-10,https://www.themoviedb.org/tv/235484/season/11/episode/8
Binnelanders,Episode 224,20,224,2025-04-10,https://www.themoviedb.org/tv/206559/season/20/episode/224
Hallo Kroket!,Episode 69,1,69,2025-04-10,https://www.themoviedb.org/tv/279257/season/1/episode/69
Kelders van Geheime,Episode 244,1,244,2025-04-10,https://www.themoviedb.org/tv/249010/season/1/episode/244
Diepe Waters,Episode 112,3,112,2025-04-10,https://www.themoviedb.org/tv/231962/season/3/episode/112
Vandaag Inside,Episode 59,8,59,2025-04-10,https://www.themoviedb.org/tv/154828/season/8/episode/59
Suidooster,Episode 9,11,9,2025-04-11,https://www.themoviedb.org/tv/235484/season/11/episode/9
Binnelanders,Episode 225,20,225,2025-04-11,https://www.themoviedb.org/tv/206559/season/20/episode/225
Hallo Kroket!,Episode 70,1,70,2025-04-11,https://www.themoviedb.org/tv/279257/season/1/episode/70
Kelders van Geheime,Episode 245,1,245,2025-04-11,https://www.themoviedb.org/tv/249010/season/1/episode/245
Vandaag Inside,Episode 60,8,60,2025-04-11,https://www.themoviedb.org/tv/154828/season/8/episode/60
Suidooster,Episode 10,11,10,2025-04-14,https://www.themoviedb.org/tv/235484/season/11/episode/10
Binnelanders,Episode 226,20,226,2025-04-14,https://www.themoviedb.org/tv/206559/season/20/episode/226
Hallo Kroket!,Episode 71,1,71,2025-04-14,https://www.themoviedb.org/tv/279257/season/1/episode/71
Kelders van Geheime,Episode 246,1,246,2025-04-14,https://www.themoviedb.org/tv/249010/season/1/episode/246
Diepe Waters,Episode 113,3,113,2025-04-14,https://www.themoviedb.org/tv/231962/season/3/episode/113
Vandaag Inside,Episode 61,8,61,2025-04-14,https://www.themoviedb.org/tv/154828/season/8/episode/61
Suidooster,Episode 11,11,11,2025-04-15,https://www.themoviedb.org/tv/235484/season/11/episode/11
Binnelanders,Episode 227,20,227,2025-04-15,https://www.themoviedb.org/tv/206559/season/20/episode/227
Hallo Kroket!,Episode 72,1,72,2025-04-15,https://www.themoviedb.org/tv/279257/season/1/episode/72
Kelders van Geheime,Episode 247,1,247,2025-04-15,https://www.themoviedb.org/tv/249010/season/1/episode/247
Diepe Waters,Episode 114,3,114,2025-04-15,https://www.themoviedb.org/tv/231962/season/3/episode/114
Vandaag Inside,Episode 62,8,62,2025-04-15,https://www.themoviedb.org/tv/154828/season/8/episode/62
Suidooster,Episode 12,11,12,2025-04-16,https://www.themoviedb.org/tv/235484/season/11/episode/12
Binnelanders,Episode 228,20,228,2025-04-16,https://www.themoviedb.org/tv/206559/season/20/episode/228
Hallo Kroket!,Episode 73,1,73,2025-04-16,https://www.themoviedb.org/tv/279257/season/1/episode/73
Kelders van Geheime,Episode 248,1,248,2025-04-16,https://www.themoviedb.org/tv/249010/season/1/episode/248
Diepe Waters,Episode 115,3,115,2025-04-16,https://www.themoviedb.org/tv/231962/season/3/episode/115
Vandaag Inside,Episode 63,8,63,2025-04-16,https://www.themoviedb.org/tv/154828/season/8/episode/63
Suidooster,Episode 13,11,13,2025-04-17,https://www.themoviedb.org/tv/235484/season/11/episode/13
Binnelanders,Episode 229,20,229,2025-04-17,https://www.themoviedb.org/tv/206559/season/20/episode/229
Hallo Kroket!,Episode 74,1,74,2025-04-17,https://www.themoviedb.org/tv/279257/season/1/episode/74
Kelders van Geheime,Episode 249,1,249,2025-04-17,https://www.themoviedb.org/tv/249010/season/1/episode/249
Diepe Waters,Episode 116,3,116,2025-04-17,https://www.themoviedb.org/tv/231962/season/3/episode/116
Vandaag Inside,Episode 64,8,64,2025-04-17,https://www.themoviedb.org/tv/154828/season/8/episode/64
Suidooster,Episode 14,11,14,2025-04-18,https://www.themoviedb.org/tv/235484/season/11/episode/14
Binnelanders,Episode 230,20,230,2025-04-18,https://www.themoviedb.org/tv/206559/season/20/episode/230
Hallo Kroket!,Episode 75,1,75,2025-04-18,https://www.themoviedb.org/tv/279257/season/1/episode/75
Kelders van Geheime,Episode 250,1,250,2025-04-18,https://www.themoviedb.org/tv/249010/season/1/episode/250
Vandaag Inside,Episode 65,8,65,2025-04-18,https://www.themoviedb.org/tv/154828/season/8/episode/65
